feature,importance
volume,0.09535239195289141
is_pivot_high,0.05955244044390283
atr_normalizado,0.05780013193007281
atr,0.053492345288602555
is_pivot_low,0.05242255724662009
total_range,0.03695695214493681
hour,0.02779762339324346
volatilidad_20,0.02712992168952166
volatilidad_5,0.02582141333612742
bb_width,0.025652324293065035
volatilidad_10,0.023096611370782005
roc_3,0.02027070738116259
upper_shadow,0.019256217932507872
upper_shadow_ratio,0.01772856504870587
sesion_asiatica,0.016585673889236742
price_change,0.01629723122893253
momentum_3,0.01627947452930697
fuerza_impulso,0.015073352726359214
lower_shadow,0.014441320386211572
lower_shadow_ratio,0.014412913830035803
body,0.013694442545430403
macd,0.013334043344783518
roc_5,0.013232628927824439
adx,0.012775101876458321
roc_10,0.012759132076294739
stoch_k,0.012721830946917211
adx_neg,0.012230903411922942
body_ratio,0.012223330891182849
bb_position,0.012104515763861273
macd_signal,0.011987792064556392
price_change_abs,0.011979561296071117
body_abs,0.011942333688181272
macd_diff,0.011690412733426622
stoch_d,0.011572582210985392
volatilidad_cambio,0.01147327884555694
rsi,0.011462591979344537
momentum_10,0.01133538573651338
momentum_5,0.011128736631258804
adx_pos,0.010583561355012821
sma_200,0.007735800363468525
day_of_month,0.00760196609606688
sesion_europea,0.007279134584351656
sma_50,0.0071753012874192735
ema_21,0.00710692630247604
bb_low,0.006865114894985188
bb_high,0.006805183360778466
open,0.006700855318847188
dist_resistencia_cercana,0.006361362173377067
close,0.006171865845049022
dist_soporte_cercano_pct,0.006115859883674743
dist_resistencia_cercana_pct,0.0060588757736951635
high,0.006025032905201335
bb_mid,0.006016290993661626
ema_9,0.005968714822061603
low,0.00592483405634005
sma_20,0.005910754878536048
dist_soporte_cercano,0.005614569861040054
day_of_week,0.0035204983694885283
is_bearish,0.0022670853667775357
is_bullish,0.0021316575513796567
overlap_sesiones,0.002052136349830811
sesion_americana,0.0017612308516559171
volatilidad_contraccion,0.0008353593937033882
impulso_bajista,0.000783828284081979
volatilidad_expansion,0.0007758576960138139
is_engulfing,0.0006518256095637756
retroceso_alcista,0.0004303864277147251
is_doji,0.00041325085723088094
is_hammer,0.000377873202019349
retroceso_bajista,0.0003622917597184724
impulso_alcista,0.00025286426787617957
is_shooting_star,0.00023141389388502457
en_soporte,4.7452677709180596e-05
en_resistencia,1.4207672512569773e-05
obv,0.0
